VERTEX_ID, WORLD_X, WORLD_Y, WORLD_Z, SCREEN_X, SCREEN_Y, DEPTH
164, 38.47, -1001.30, 67.31, 722.57, 87.97, 205.2090
165, 37.44, -999.95, 67.31, 704.50, 84.63, 204.1010
166, 36.07, -998.78, 67.31, 688.40, 80.21, 202.6535
167, 34.52, -997.69, 67.31, 673.14, 75.22, 201.0418
168, 32.96, -996.61, 67.31, 657.67, 70.13, 199.4251
169, 31.25, -995.68, 67.31, 643.91, 64.48, 197.6597
170, 29.48, -994.80, 67.31, 630.57, 58.56, 195.8451
171, 27.72, -993.92, 67.31, 616.97, 52.53, 194.0305
172, 25.95, -993.05, 67.31, 603.13, 46.39, 192.2157
173, 24.28, -992.15, 67.31, 588.94, 40.47, 190.4990
174, 22.69, -991.26, 67.31, 574.49, 34.71, 188.8578
175, 21.09, -990.36, 67.31, 559.83, 28.83, 187.2096
176, 19.95, -989.39, 67.31, 544.40, 24.48, 186.0112
177, 19.38, -988.32, 67.31, 528.14, 22.13, 185.3685
178, 19.76, -987.39, 67.31, 515.15, 23.31, 185.6890
179, 20.71, -986.51, 67.31, 503.84, 26.57, 186.5846
180, 22.30, -985.88, 67.31, 497.31, 32.13, 188.1303
181, 24.00, -985.30, 67.31, 491.62, 37.98, 189.7863
182, 25.80, -984.78, 67.31, 487.12, 44.07, 191.5400
183, 27.72, -984.35, 67.31, 484.23, 50.52, 193.4317
184, 29.65, -983.93, 67.31, 481.39, 56.84, 195.3228
185, 31.60, -983.53, 67.31, 478.97, 63.13, 197.2429
186, 33.59, -983.16, 67.31, 477.09, 69.43, 199.2032
187, 35.58, -982.79, 67.31, 475.24, 75.60, 201.1636
188, 37.57, -982.42, 67.31, 473.39, 81.66, 203.1243
189, 39.57, -982.02, 67.31, 471.28, 87.61, 205.0877
190, 41.57, -981.63, 67.31, 469.21, 93.44, 207.0509
191, 43.56, -981.23, 67.31, 467.17, 99.17, 209.0140
192, 45.51, -980.73, 67.31, 463.73, 104.64, 210.9263
193, 47.46, -980.20, 67.31, 460.10, 110.00, 212.8293
194, 49.40, -979.68, 67.31, 456.52, 115.25, 214.7307
195, 51.14, -978.85, 67.31, 448.85, 119.82, 216.4142
196, 52.86, -978.00, 67.31, 440.99, 124.25, 218.0707
197, 53.91, -976.75, 67.31, 427.39, 126.82, 219.0443
198, 54.55, -975.30, 67.31, 410.61, 128.25, 219.5881
199, 53.73, -973.91, 67.31, 392.00, 125.86, 218.6779
200, 52.60, -972.53, 67.31, 372.90, 122.65, 217.4681
201, 51.13, -971.39, 67.31, 355.71, 118.51, 215.9288
202, 49.37, -970.43, 67.31, 340.12, 113.58, 214.1230
203, 47.62, -969.48, 67.31, 324.30, 108.55, 212.3133
204, 24.16, -1063.06, -3.15, 1579.47, 1028.61, 190.5473
205, 46.74, -969.00, 67.31, 316.29, 106.01, 211.4070
206, 46.74, -969.00, -3.15, 302.92, 1002.58, 207.1055
207, 48.50, -969.95, -3.15, 319.31, 999.99, 208.9171
208, 50.25, -970.91, -3.15, 335.45, 997.44, 210.7249
209, 52.00, -971.86, -3.15, 351.33, 994.94, 212.5285
210, 53.17, -973.22, -3.15, 370.85, 993.24, 213.7784
211, 54.27, -974.60, -3.15, 390.30, 991.64, 214.9597
212, 54.25, -976.03, -3.15, 408.22, 991.55, 215.0307
213, 53.55, -977.47, -3.15, 425.08, 992.36, 214.4237
214, 52.00, -978.42, -3.15, 434.53, 994.37, 212.9438
215, 50.27, -979.27, -3.15, 442.43, 996.67, 211.2763
216, 48.43, -979.94, -3.15, 448.00, 999.19, 209.4787
217, 46.48, -980.47, -3.15, 451.59, 1001.91, 207.5765
218, 44.54, -980.99, -3.15, 455.21, 1004.67, 205.6727
219, 42.56, -981.43, -3.15, 457.80, 1007.54, 203.7310
220, 40.57, -981.82, -3.15, 459.80, 1010.51, 201.7678
221, 38.57, -982.22, -3.15, 461.83, 1013.53, 199.8045
222, 36.58, -982.60, -3.15, 463.77, 1016.61, 197.8423
223, 34.59, -982.97, -3.15, 465.54, 1019.74, 195.8819
224, 32.59, -983.34, -3.15, 467.33, 1022.94, 193.9216
225, 30.61, -983.72, -3.15, 469.24, 1026.20, 191.9667
226, 28.68, -984.14, -3.15, 472.01, 1029.42, 190.0759
227, 26.76, -984.57, -3.15, 474.83, 1032.70, 188.1844
228, 24.85, -985.00, -3.15, 477.89, 1036.01, 186.3097
229, 23.15, -985.59, -3.15, 483.62, 1038.99, 184.6579
230, 21.45, -986.17, -3.15, 489.33, 1042.04, 182.9974
231, 20.25, -986.96, -3.15, 498.94, 1044.18, 181.8498
232, 19.23, -987.82, -3.15, 510.11, 1045.98, 180.8940
233, 19.68, -988.86, -3.15, 526.24, 1045.01, 181.4068
234, 20.29, -989.92, -3.15, 542.79, 1043.74, 182.0811
235, 21.89, -990.81, -3.15, 557.99, 1040.68, 183.7331
236, 23.49, -991.71, -3.15, 572.97, 1037.69, 185.3777
237, 25.08, -992.61, -3.15, 587.73, 1034.75, 187.0157
238, 26.83, -993.48, -3.15, 602.11, 1031.58, 188.8216
239, 28.60, -994.36, -3.15, 616.22, 1028.46, 190.6363
240, 30.37, -995.24, -3.15, 630.06, 1025.39, 192.4509
241, 32.13, -996.12, -3.15, 643.64, 1022.38, 194.2654
242, 33.74, -997.15, -3.15, 658.97, 1019.66, 195.9325
243, 35.29, -998.24, -3.15, 674.72, 1017.08, 197.5468
244, 36.84, -999.32, -3.15, 690.25, 1014.54, 199.1559
245, 37.96, -1000.63, -3.15, 708.26, 1012.67, 200.3570
246, 38.97, -1001.98, -3.15, 726.67, 1010.99, 201.4505
247, 39.24, -1003.44, -3.15, 746.06, 1010.44, 201.8112
248, 39.13, -1004.89, -3.15, 765.24, 1010.47, 201.7913
249, 38.31, -1006.18, -3.15, 782.40, 1011.59, 201.0574
250, 37.26, -1007.35, -3.15, 797.93, 1013.10, 200.0770
251, 36.05, -1008.43, -3.15, 812.48, 1014.87, 198.9442
252, 34.82, -1009.43, -3.15, 826.11, 1016.70, 197.7807
253, 33.67, -1010.44, -3.15, 840.00, 1018.42, 196.7042
254, 32.70, -1011.47, -3.15, 854.30, 1019.88, 195.7993
255, 32.22, -1012.58, -3.15, 869.56, 1020.53, 195.3946
256, 32.16, -1013.71, -3.15, 885.01, 1020.53, 195.3978
257, 32.71, -1014.86, -3.15, 900.40, 1019.52, 196.0213
258, 33.77, -1015.92, -3.15, 914.24, 1017.71, 197.1453
259, 35.07, -1016.95, -3.15, 927.23, 1015.55, 198.5085
260, 36.53, -1017.93, -3.15, 939.22, 1013.19, 200.0197
261, 38.25, -1018.80, -3.15, 949.53, 1010.47, 201.7899
262, 39.97, -1019.68, -3.15, 959.66, 1007.80, 203.5599
263, 41.69, -1020.56, -3.15, 969.62, 1005.17, 205.3295
264, 43.38, -1021.55, -3.15, 980.95, 1002.63, 207.0709
265, 45.06, -1022.55, -3.15, 992.18, 1000.14, 208.8076
266, 46.73, -1023.56, -3.15, 1003.26, 997.70, 210.5404
267, 48.41, -1024.56, -3.15, 1014.19, 995.30, 212.2689
268, 49.21, -1025.97, -3.15, 1030.90, 994.08, 213.1617
269, 49.97, -1027.39, -3.15, 1047.71, 992.93, 214.0037
270, 50.36, -1028.79, -3.15, 1064.62, 992.28, 214.4846
271, 49.71, -1030.13, -3.15, 1082.05, 993.04, 213.9245
272, 49.04, -1031.47, -3.15, 1099.55, 993.84, 213.3329
273, 47.99, -1032.62, -3.15, 1115.53, 995.17, 212.3664
274, 46.63, -1033.63, -3.15, 1130.22, 996.96, 211.0724
275, 45.26, -1034.63, -3.15, 1145.08, 998.78, 209.7732
276, 43.85, -1035.59, -3.15, 1159.71, 1000.69, 208.4226
277, 42.25, -1036.41, -3.15, 1172.98, 1002.91, 206.8841
278, 40.65, -1037.22, -3.15, 1186.46, 1005.15, 205.3451
279, 39.06, -1038.04, -3.15, 1200.14, 1007.43, 203.8056
280, 37.44, -1038.83, -3.15, 1213.78, 1009.78, 202.2453
281, 35.78, -1039.58, -3.15, 1227.10, 1012.24, 200.6393
282, 34.12, -1040.32, -3.15, 1240.64, 1014.73, 199.0333
283, 32.46, -1041.07, -3.15, 1254.40, 1017.27, 197.4274
